topic,keyword,is_regex,group,weight
Reparations and Remembrance,"(?<!\w)emancipatie(?:\W+\w+){0,11}?\W+commissie(?!\w)",True,pair,1.55
Reparations and Remembrance,"(?<!\w)herdenk(?:\W+\w+){0,11}?\W+verhal(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)verhal(?:\W+\w+){0,11}?\W+herdenk(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)erfgoed(?:\W+\w+){0,11}?\W+onderwijs(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)onderwijs(?:\W+\w+){0,11}?\W+erfgoed(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)erfgoed(?:\W+\w+){0,11}?\W+slavernijverled(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)slavernijverled(?:\W+\w+){0,11}?\W+erfgoed(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)erfgoed(?:\W+\w+){0,11}?\W+museum(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)museum(?:\W+\w+){0,11}?\W+erfgoed(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)museum(?:\W+\w+){0,11}?\W+oral(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)oral(?:\W+\w+){0,11}?\W+museum(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)excuses(?:\W+\w+){0,11}?\W+herstelbetal(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)herstelbetal(?:\W+\w+){0,11}?\W+excuses(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)herdenk(?:\W+\w+){0,11}?\W+reparation(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)reparation(?:\W+\w+){0,11}?\W+herdenk(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)monument(?:\W+\w+){0,11}?\W+onderwijs(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)onderwijs(?:\W+\w+){0,11}?\W+monument(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)excuses(?:\W+\w+){0,11}?\W+onderwijs(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)onderwijs(?:\W+\w+){0,11}?\W+excuses(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)herdenk(?:\W+\w+){0,11}?\W+onderwijs(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)onderwijs(?:\W+\w+){0,11}?\W+herdenk(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)erfgoed(?:\W+\w+){0,11}?\W+herdenk(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)herdenk(?:\W+\w+){0,11}?\W+erfgoed(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)archief(?:\W+\w+){0,11}?\W+verhal(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)verhal(?:\W+\w+){0,11}?\W+archief(?!\w)",True,pair,1.35
Reparations and Remembrance,"(?<!\w)herdenk(?:\W+\w+){0,11}?\W+slavernijverled(?!\w)",True,pair,1.35
