chunk_id,dominant_topic,dominant_score,score_margin,confidence_level
a1c85dd4:00000,Colonialism,0.4257407424691856,0.0511860674411993,high
a1c85dd4:00001,Historical Slavery,0.4618809560166144,0.1180394116425976,high
ff8a5c25:00001,Historical Slavery,0.4281486359271655,0.1143427818022563,high
c2711330:00000,Colonialism,0.410093024349678,0.1269962219407733,high
11561e28:00000,Colonialism,0.4535908799961052,0.061076848050513,high
31463c6d:00001,Historical Slavery,0.359740663050269,0.0844566250976645,high
492a07f2:00000,Historical Slavery,0.4856601988243355,0.0684584019380842,high
7450bf7e:00001,Historical Slavery,0.3912464923740136,0.0859582375013935,high
a8aeda5b:00001,Colonialism,0.4040686364206288,0.1237090746661523,high
fea05960:00000,Historical Slavery,0.5250674636816958,0.0867123386160494,high
fea05960:00001,Colonialism,0.4714873279109614,0.0744679530910906,high
