topic,term,cosine,df,weight,category,parent,is_seed
Historical_Slavery_Colonialism,kust-koloniën,0.7377,2,1.0,core,koloniën,0
Historical_Slavery_Colonialism,sloepen,0.7368,4,1.0,core,slaaf,0
Historical_Slavery_Colonialism,wic-monopolie,0.7366,3,1.0,core,wic,0
Historical_Slavery_Colonialism,slavenmaatschappij,0.7364,15,0.9,strongly_related,slavenhouders,0
Historical_Slavery_Colonialism,rederij,0.735,18,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,arbeid,0.7349,125,0.7,moderately_related,slavenarbeid,0
Historical_Slavery_Colonialism,uitgifte,0.7344,6,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,gediscrimineerde,0.7343,2,1.0,core,rassendiscriminatie,0
Historical_Slavery_Colonialism,bekostiging,0.7339,32,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,vaartuig,0.7336,4,0.9,strongly_related,slavenschip,0
Historical_Slavery_Colonialism,afdwingen,0.7334,3,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,historici,0.7328,69,0.3,context,geschiedenis,0
Historical_Slavery_Colonialism,slavenmacht,0.7326,8,0.7,moderately_related,slavenverzet,0
Historical_Slavery_Colonialism,historisch,0.7319,83,0.3,context,geschiedenis,0
Historical_Slavery_Colonialism,voc-gebieden,0.731,3,1.0,core,voc,0
Historical_Slavery_Colonialism,zeilschepen,0.7305,3,0.9,strongly_related,slavenschepen,0
Historical_Slavery_Colonialism,voc-nederzettingen,0.7296,2,1.0,core,voc,0
Historical_Slavery_Colonialism,vermindering,0.7289,6,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,uitbetaling,0.7285,4,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,handelaren,0.7283,82,0.9,strongly_related,slavenhandelaren,0
Historical_Slavery_Colonialism,schipper,0.7281,10,0.9,strongly_related,slavenschip,0
Historical_Slavery_Colonialism,handelsschepen,0.7255,3,0.9,strongly_related,slavenschepen,0
Historical_Slavery_Colonialism,verscheping,0.7236,7,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,slavenkinderen,0.7208,2,1.0,core,slaven,0
Historical_Slavery_Colonialism,aanneming,0.7204,8,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,slavernijmusea,0.7197,2,1.0,core,slavernijverleden,0
Historical_Slavery_Colonialism,slaveneigenaren,0.7187,35,0.9,strongly_related,slavenhouders,0
Historical_Slavery_Colonialism,sloep,0.7184,7,1.0,core,slaaf,0
Historical_Slavery_Colonialism,afwijzen,0.7184,3,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,opschaling,0.7181,6,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,wic-schepen,0.7179,3,1.0,core,wic,0
Historical_Slavery_Colonialism,rassenconflict,0.7171,2,0.7,moderately_related,rassenverhoudingen,0
Historical_Slavery_Colonialism,kolonisator,0.717,11,0.9,strongly_related,kolonisten,0
Historical_Slavery_Colonialism,landarbeiders,0.7165,2,0.7,moderately_related,slavenarbeid,0
Historical_Slavery_Colonialism,discriminerende,0.7165,10,1.0,core,rassendiscriminatie,0
Historical_Slavery_Colonialism,verlaging,0.7154,11,1.0,core,afschaffing,0
Historical_Slavery_Colonialism,vaartuigen,0.7154,3,0.9,strongly_related,slavenschepen,0
Historical_Slavery_Colonialism,wic-kamer,0.7143,3,1.0,core,wic,0
